Year,Area,Item,Area harvested,Production,Yield
2019,Afghanistan,"Almonds, in shell",29203.0,38205.0,1308.3
2019,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",25293.0,17807.76,704.1
2019,Afghanistan,Apples,27559.0,250324.0,9083.2
2019,Afghanistan,Apricots,17719.0,129363.0,7300.8
2019,Afghanistan,Barley,84070.0,123576.0,1469.9
2019,Afghanistan,Cantaloupes and other melons,37136.0,464230.0,12500.8
2019,Afghanistan,Figs,3529.0,24319.0,6891.2
2019,Afghanistan,Grapes,89593.0,1112927.0,12422.0
2019,Afghanistan,Linseed,38323.0,55000.0,1435.2
2019,Afghanistan,Maize (corn),94910.0,184671.0,1945.7
2019,Afghanistan,Millet,1401.0,2714.0,1937.2
2019,Afghanistan,Mustard seed,1691.0,1700.0,1005.3
2019,Afghanistan,Olives,2206.0,7926.57,3593.7
2019,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",18343.0,352725.0,19229.4
2019,Afghanistan,Oranges,973.0,6006.18,6172.8
2019,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,6117.0,29384.09,4803.7
2019,Afghanistan,"Other citrus fruit, n.e.c.",3391.0,30759.4,9070.9
2019,Afghanistan,"Other fruits, n.e.c.",8503.0,61921.74,7282.6
2019,Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2014.0,1730.0,858.9
2019,Afghanistan,Other pulses n.e.c.,67114.0,44132.56,657.6
2019,Afghanistan,"Other stimulant, spice and aromatic crops, n.e.c.",7558.0,20.0,2.6
2019,Afghanistan,Other stone fruits,6880.0,48484.61,7047.4
2019,Afghanistan,"Other vegetables, fresh n.e.c.",41561.0,377817.29,9090.7
2019,Afghanistan,Peaches and nectarines,8076.0,61361.0,7597.9
2019,Afghanistan,Pears,2473.0,6966.0,2816.8
2019,Afghanistan,"Pistachios, in shell",2214.0,2793.78,1262.0
2019,Afghanistan,Plums and sloes,3629.0,38321.0,10559.7
2019,Afghanistan,Potatoes,57066.0,921122.0,16141.3
2019,Afghanistan,Rice,127530.0,570900.0,4476.6
2019,Afghanistan,"Seed cotton, unginned",49371.0,73120.0,1481.0
2019,Afghanistan,Sesame seed,71081.0,33139.0,466.2
2019,Afghanistan,Sugar beet,616.0,9284.0,15071.4
2019,Afghanistan,Sugar cane,1653.0,36538.0,22104.1
2019,Afghanistan,Sunflower seed,981.0,882.0,899.1
2019,Afghanistan,"Walnuts, in shell",5025.0,14690.0,2923.4
2019,Afghanistan,Watermelons,48298.0,846990.0,17536.8
2019,Afghanistan,Wheat,2334000.0,4890000.0,2095.1
2019,Albania,Apples,4407.0,107713.0,24441.3
2019,Albania,Apricots,341.0,4875.0,14296.2
2019,Albania,Barley,2742.0,7942.0,2896.4
2019,Albania,"Beans, dry",13550.0,24782.0,1828.9
2019,Albania,"Broad beans and horse beans, dry",174.0,208.36,1200.8
2019,Albania,"Broad beans and horse beans, green",27.0,132.67,4993.6
2019,Albania,Cabbages,2023.0,70411.0,34805.2
2019,Albania,Cantaloupes and other melons,1502.0,40713.0,27105.9
2019,Albania,Carrots and turnips,423.0,13571.0,32082.7
2019,Albania,Cauliflowers and broccoli,342.0,7908.0,23122.8
2019,Albania,Cherries,2203.0,19681.0,8933.7
2019,Albania,"Chestnuts, in shell",2406.0,5846.0,2429.8
2019,Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",3055.0,85061.0,27843.2
2019,Albania,Cucumbers and gherkins,2654.0,126632.0,47713.6
2019,Albania,Dates,485.0,14035.0,28938.1
2019,Albania,Eggplants (aubergines),1190.0,31122.0,26152.9
2019,Albania,Figs,1489.0,22024.0,14791.1
2019,Albania,Grapes,10255.0,189904.0,18518.2
2019,Albania,Green garlic,989.0,15056.0,15223.5
2019,Albania,Hop cones,2422.0,1841.54,760.3
2019,Albania,Leeks and other alliaceous vegetables,1531.0,36894.0,24098.0
2019,Albania,Lemons and limes,87.0,4075.0,46911.5
2019,Albania,Lettuce and chicory,1440.0,21502.0,14931.9
2019,Albania,Maize (corn),55148.0,388951.0,7052.9
2019,Albania,Oats,15800.0,33382.0,2112.8
2019,Albania,Okra,696.0,8007.54,11502.7
2019,Albania,Olives,47136.0,98313.0,2085.7
2019,Albania,"Onions and shallots, dry (excluding dehydrated)",5236.0,109368.0,20887.7
2019,Albania,"Onions and shallots, green",1924.0,40261.0,20925.7
2019,Albania,Oranges,233.0,11556.0,49596.6
2019,Albania,"Other beans, green",980.0,12248.0,12498.0
2019,Albania,"Other citrus fruit, n.e.c.",1.0,16.0,25679.0
2019,Albania,"Other fruits, n.e.c.",121.0,3331.0,27528.9
2019,Albania,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",946.0,8354.0,8830.9
2019,Albania,Other pulses n.e.c.,1142.0,699.84,612.9
2019,Albania,"Other stimulant, spice and aromatic crops, n.e.c.",398.0,353.87,888.3
2019,Albania,"Other vegetables, fresh n.e.c.",1512.0,24317.0,16082.7
2019,Albania,Peaches and nectarines,1243.0,19884.0,15996.8
2019,Albania,Pears,759.0,14107.0,18586.3
2019,Albania,"Peas, green",496.0,5456.0,11000.0
2019,Albania,Plums and sloes,2626.0,40928.0,15585.7
2019,Albania,Potatoes,10164.0,260661.0,25645.5
2019,Albania,"Pumpkins, squash and gourds",675.0,18923.0,28034.1
2019,Albania,Quinces,87.0,4844.0,55678.2
2019,Albania,Rye,1183.0,2572.0,2174.1
2019,Albania,"Seed cotton, unginned",707.0,783.26,1107.8
2019,Albania,Sour cherries,3287.0,18230.93,5546.3
2019,Albania,Soya beans,219.0,605.0,2762.6
2019,Albania,Spinach,1559.0,23702.0,15203.3
2019,Albania,Strawberries,121.0,5273.0,43578.5
2019,Albania,Sugar beet,805.0,30705.0,38142.9
2019,Albania,Sunflower seed,439.0,1013.0,2307.5
2019,Albania,"Tangerines, mandarins, clementines",992.0,31235.0,31486.9
2019,Albania,Tomatoes,6663.0,299669.0,44975.1
2019,Albania,Unmanufactured tobacco,811.0,1403.0,1730.0
2019,Albania,Vetches,6384.0,1890.65,296.1
2019,Albania,Watermelons,5809.0,259697.0,44706.0
2019,Albania,Wheat,57330.0,233218.0,4068.0
2019,Algeria,"Almonds, in shell",35380.0,72412.0,2046.7
2019,Algeria,Apples,32989.0,558830.0,16939.9
2019,Algeria,Apricots,30861.0,209204.0,6778.9
2019,Algeria,Artichokes,5792.0,119636.0,20655.4
2019,Algeria,Bananas,10.0,242.52,24727.8
2019,Algeria,Barley,1133005.0,1647746.0,1454.3
2019,Algeria,"Beans, dry",1912.0,1789.0,935.7
2019,Algeria,"Broad beans and horse beans, dry",41451.0,55272.0,1333.4
2019,Algeria,"Broad beans and horse beans, green",33098.0,298483.0,9018.2
2019,Algeria,Cabbages,4317.0,116426.0,26969.2
2019,Algeria,Carrots and turnips,17469.0,419534.0,24015.9
2019,Algeria,Cauliflowers and broccoli,8629.0,205439.0,23808.0
2019,Algeria,Cherries,3432.0,11237.0,3274.2
2019,Algeria,"Chick peas, dry",36206.0,40369.0,1115.0
2019,Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",4154.0,15111.19,3637.7
2019,Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",21767.0,675168.0,31018.0
2019,Algeria,Cucumbers and gherkins,4078.0,166045.0,40717.3
2019,Algeria,Dates,169786.0,1136025.0,6690.9
2019,Algeria,Eggplants (aubergines),6047.0,184145.0,30452.3
2019,Algeria,Figs,39438.0,114092.0,2892.9
2019,Algeria,Grapes,68649.0,549833.0,8009.3
2019,Algeria,Green garlic,13408.0,223311.0,16655.1
2019,Algeria,"Groundnuts, excluding shelled",4886.0,12602.0,2579.2
2019,Algeria,Lemons and limes,3994.0,87016.0,21786.7
2019,Algeria,"Lentils, dry",29516.0,26524.0,898.6
2019,Algeria,Locust beans (carobs),732.0,3526.0,4816.9
2019,Algeria,Maize (corn),1533.0,6368.0,4153.9
2019,Algeria,Oats,77626.0,101305.0,1305.0
2019,Algeria,Olives,431506.0,868754.0,2013.3
2019,Algeria,"Onions and shallots, dry (excluding dehydrated)",50312.0,1613729.0,32074.4
2019,Algeria,"Onions and shallots, green",33.0,349.17,10643.5
2019,Algeria,Oranges,46081.0,1199535.0,26031.0
2019,Algeria,"Other beans, green",12706.0,95022.0,7478.5
2019,Algeria,"Other citrus fruit, n.e.c.",472.0,617.86,1309.0
2019,Algeria,"Other fruits, n.e.c.",11516.0,115414.0,10022.1
2019,Algeria,Other pulses n.e.c.,180.0,148.0,822.2
2019,Algeria,Other stone fruits,2252.0,29620.0,13152.8
2019,Algeria,"Other vegetables, fresh n.e.c.",48373.0,1078035.0,22285.9
2019,Algeria,Peaches and nectarines,16675.0,201755.0,12099.3
2019,Algeria,Pears,20240.0,223467.0,11040.9
2019,Algeria,"Peas, dry",9952.0,12125.0,1218.3
2019,Algeria,"Peas, green",38959.0,200025.0,5134.2
2019,Algeria,Plums and sloes,12795.0,113085.0,8838.2
2019,Algeria,Pomelos and grapefruits,73.0,1691.0,23164.4
2019,Algeria,Potatoes,157864.0,5020249.0,31801.1
2019,Algeria,"Pumpkins, squash and gourds",14377.0,420135.0,29222.7
2019,Algeria,Quinces,1617.0,12746.0,7882.5
2019,Algeria,Rape or colza seed,11979.0,23288.76,1944.2
2019,Algeria,Rice,172.0,308.07,1788.9
2019,Algeria,"Seed cotton, unginned",260.0,79.66,306.4
2019,Algeria,Sorghum,132.0,927.0,7022.7
2019,Algeria,Sunflower seed,199.0,89.86,452.6
2019,Algeria,"Tangerines, mandarins, clementines",13597.0,295250.0,21714.3
2019,Algeria,Tomatoes,24996.0,1477878.0,59124.6
2019,Algeria,Triticale,30.0,62.0,2066.7
2019,Algeria,Unmanufactured tobacco,4790.0,15164.0,3165.8
2019,Algeria,Vetches,155.0,77.93,501.9
2019,Algeria,Watermelons,62673.0,2206866.0,35212.4
2019,Algeria,Wheat,1974987.0,3876876.0,1963.0
2019,Angola,Avocados,4400.0,51910.0,11797.7
2019,Angola,Bananas,162156.0,4036959.0,24895.5
2019,Angola,"Beans, dry",672837.0,325828.0,484.3
2019,Angola,Cabbages,10000.0,293698.0,29369.8
2019,Angola,Carrots and turnips,7500.0,138581.0,18477.5
2019,Angola,"Cashew nuts, in shell",2744.0,2190.12,798.1
2019,Angola,"Cassava, fresh",945328.0,9000432.0,9521.0
2019,Angola,Castor oil seeds,16123.0,4138.24,256.7
2019,Angola,Cocoa beans,2834.0,463.57,163.5
2019,Angola,"Coffee, green",40029.0,13256.51,331.2
2019,Angola,Green garlic,850.0,11006.0,12948.2
2019,Angola,"Groundnuts, excluding shelled",336835.0,211776.0,628.7
2019,Angola,"Kenaf, and other textile bast fibres, raw or retted",1208.0,826.71,684.4
2019,Angola,Maize (corn),2642691.0,2818684.0,1066.6
2019,Angola,"Mangoes, guavas and mangosteens",21000.0,236690.0,11271.0
2019,Angola,Millet,233362.0,51905.92,222.4
2019,Angola,Oil palm fruit,23123.0,280390.77,12126.0
2019,Angola,"Onions and shallots, green",26000.0,590387.0,22707.2
2019,Angola,"Other citrus fruit, n.e.c.",38413.0,415146.0,10807.4
2019,Angola,"Other fruits, n.e.c.",8498.0,39529.27,4651.8
2019,Angola,"Other vegetables, fresh n.e.c.",61804.0,357713.51,5787.9
2019,Angola,Pineapples,35416.0,574155.0,16211.7
2019,Angola,Potatoes,63963.0,455249.0,7117.4
2019,Angola,Rice,8467.0,10102.0,1193.1
2019,Angola,"Seed cotton, unginned",2952.0,3400.0,1151.7
2019,Angola,Sesame seed,12210.0,3186.25,260.9
2019,Angola,"Sisal, raw",530.0,568.1,1072.1
